,Hora,Energia Prom [kWh],Energia desv [kWh],Irradiacion Prom [Wh/m2],Irradiacion desv [Wh/m2]
0,7:00,9.6338782051282,4.719488634292238,176.30666420118357,91.84873140864242
1,8:00,19.232500000000012,9.652308299521966,341.39067480719785,172.23516036255938
2,9:00,25.391522522522525,11.791568870905662,450.05020270270256,211.96732434203088
3,10:00,29.648883647798733,14.048207212466604,522.5644766397126,240.734338028138
4,11:00,30.590609485815616,14.494163046619175,543.99196143617,257.96452715948834
5,12:00,27.844793388429753,14.46710419318091,489.75643250688734,258.4114389101859
6,13:00,21.17747588424436,11.529207199482984,362.0788424437301,210.38280174801335
7,14:00,15.608675757575758,7.164321808184418,281.8725242424242,159.74505009021297
8,15:00,9.500316091954026,3.922632510336554,159.50796695402303,77.11020118822297
9,16:00,5.8025172890733066,2.1438088176902164,90.33866874135546,35.80207976295357
