,Hora,Energia Prom [kWh],Irradiacion Prom [Wh/m2],Energia desv [kWh],Irradiacion desv [Wh/m2]
0,6:00,1.6696051673944676,36.73263646288208,1.1328517448880608,22.037112918983592
1,7:00,9.283935589519642,189.37018195050948,4.759371788479009,109.30204778893324
2,8:00,19.10124272197963,354.24417576419205,9.229885938244013,176.65867168685685
3,9:00,25.971177219796218,463.0215665938862,11.90327758263092,215.9639509886888
4,10:00,30.415977074235816,530.4391557496363,14.084938988771965,247.39002889520884
5,11:00,31.178831877729262,535.6302620087333,15.108983839745923,263.04649717196764
6,12:00,28.835844250363916,480.73007278020395,15.478484841697302,259.7665589763365
7,13:00,24.735045487627367,350.2651219068416,14.60698923241845,195.56249123775453
8,14:00,19.00191775836973,238.34383369723446,11.545151059904654,150.41317489162248
9,15:00,12.224898107714699,149.60823144104802,8.14023520836077,97.75742573278062
10,16:00,6.130351164483258,80.23313500727804,4.240660116255447,47.309124471650925
11,17:00,1.4665083697234353,24.785132823871873,1.2466763231079347,16.417208684980736
